"","number","sp","Dataset","TraitValue","TraitValueClean","Lat","Lon","DataContributor","TraitName","TraitNameClean","extra","extra2"
"1999",1999,"Vaccinium myrtillus","""The Netherlands Plant Traits Database""","28.6004489337823","28.6004489337823","52.02","5.42","""Jenny Ordonez""","""SLA"";;","SLA",NA,NA
"2000",2000,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.047","69.06499738","20.8119392","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2001",2001,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","22.06570621","69.06418727","20.81475824","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""SLA""","SLA",NA,NA
"2002",2002,"Vaccinium myrtillus","""LOMB""","0.07","0.07","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2003",2003,"Vaccinium myrtillus","""Stillberg""","21.76969231","21.76969231","46.77","9.87","""Janet Prevey""","""SLA"";;","SLA",NA,NA
"2004",2004,"Vaccinium myrtillus","""Abisko""","0.09","0.09","68.355968","18.722872","""Martin Hallinger""","""PlantHeight"";;","PlantHeight",NA,NA
"2005",2005,"Vaccinium myrtillus","""LOMB""","0.13","0.13","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2006",2006,"Vaccinium myrtillus","""LOMB""","0.08","0.08","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2007",2007,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.039","69.07008685","20.82800218","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2008",2008,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.048","69.06313115","20.8352092","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2009",2009,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.09","69.06727337","20.79994421","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2010",2010,"Vaccinium myrtillus","""TAMB""","0.05","0.05","68.33694","21.32006","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2011",2011,"Vaccinium myrtillus","""Stillberg""","0.126","0.126","46.77","9.87","""Janet Prevey""","""PlantHeight"";;","PlantHeight",NA,NA
"2012",2012,"Vaccinium myrtillus","""The Netherlands Plant Traits Database""","18.8109833971903","18.8109833971903","52.04","5.93","""Jenny Ordonez""","""SLA"";;","SLA",NA,NA
"2013",2013,"Vaccinium myrtillus","""Estais""","0.273","0.273","42.55029","1.04184","""Alba Anadon-Rosell""","""SeedMass"";;","SeedMass",NA,NA
"2014",2014,"Vaccinium myrtillus","""LOGH""","0.07","0.07","62.10253","12.34458","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
